"FIPS.Code","County","Year","Program.Type","Population"
36049,"Lewis",2015,"Postcensal Population Estimate",26827
36051,"Livingston",2015,"Postcensal Population Estimate",64344
36053,"Madison",2015,"Postcensal Population Estimate",71636
36055,"Monroe",2015,"Postcensal Population Estimate",745577
36057,"Montgomery",2015,"Postcensal Population Estimate",49564
36059,"Nassau",2015,"Postcensal Population Estimate",1354840
36061,"New",2015,"Postcensal Population Estimate",1636063
36063,"Niagara",2015,"Postcensal Population Estimate",212358
36065,"Oneida",2015,"Postcensal Population Estimate",231264
36067,"Onondaga",2015,"Postcensal Population Estimate",466277
36069,"Ontario",2015,"Postcensal Population Estimate",109271
36071,"Orange",2015,"Postcensal Population Estimate",375803
36073,"Orleans",2015,"Postcensal Population Estimate",41481
36075,"Oswego",2015,"Postcensal Population Estimate",119735
36077,"Otsego",2015,"Postcensal Population Estimate",60504
36079,"Putnam",2015,"Postcensal Population Estimate",99185
36081,"Queens",2015,"Postcensal Population Estimate",2305838
36083,"Rensselaer",2015,"Postcensal Population Estimate",159436
36085,"Richmond",2015,"Postcensal Population Estimate",472349
36087,"Rockland",2015,"Postcensal Population Estimate",322919
36089,"St.",2015,"Postcensal Population Estimate",110348
36091,"Saratoga",2015,"Postcensal Population Estimate",226078
36093,"Schenectady",2015,"Postcensal Population Estimate",154733
36095,"Schoharie",2015,"Postcensal Population Estimate",31405
36097,"Schuyler",2015,"Postcensal Population Estimate",18027
36099,"Seneca",2015,"Postcensal Population Estimate",34801
36101,"Steuben",2015,"Postcensal Population Estimate",97551
36103,"Suffolk",2015,"Postcensal Population Estimate",1491967
36105,"Sullivan",2015,"Postcensal Population Estimate",74832
36107,"Tioga",2015,"Postcensal Population Estimate",49355
36109,"Tompkins",2015,"Postcensal Population Estimate",103006
36111,"Ulster",2015,"Postcensal Population Estimate",179658
36113,"Warren",2015,"Postcensal Population Estimate",64420
36115,"Washington",2015,"Postcensal Population Estimate",62246
36117,"Wayne",2015,"Postcensal Population Estimate",91291
36119,"Westchester",2015,"Postcensal Population Estimate",968773
36121,"Wyoming",2015,"Postcensal Population Estimate",40930
36123,"Yates",2015,"Postcensal Population Estimate",25128
36000,"New",2014,"Postcensal Population Estimate",19651049
36001,"Albany",2014,"Postcensal Population Estimate",307151
36003,"Allegany",2014,"Postcensal Population Estimate",47652
36005,"Bronx",2014,"Postcensal Population Estimate",1430942
36007,"Broome",2014,"Postcensal Population Estimate",197251
36009,"Cattaraugus",2014,"Postcensal Population Estimate",78677
36011,"Cayuga",2014,"Postcensal Population Estimate",78762
36013,"Chautauqua",2014,"Postcensal Population Estimate",131751
36015,"Chemung",2014,"Postcensal Population Estimate",87177
36017,"Chenango",2014,"Postcensal Population Estimate",49319
36019,"Clinton",2014,"Postcensal Population Estimate",81463
36021,"Columbia",2014,"Postcensal Population Estimate",61942
36023,"Cortland",2014,"Postcensal Population Estimate",48740
36025,"Delaware",2014,"Postcensal Population Estimate",46562
36027,"Dutchess",2014,"Postcensal Population Estimate",295127
36029,"Erie",2014,"Postcensal Population Estimate",921755
36031,"Essex",2014,"Postcensal Population Estimate",38323
36033,"Franklin",2014,"Postcensal Population Estimate",51096
36035,"Fulton",2014,"Postcensal Population Estimate",53932
36037,"Genesee",2014,"Postcensal Population Estimate",58725
36039,"Greene",2014,"Postcensal Population Estimate",47964
36041,"Hamilton",2014,"Postcensal Population Estimate",4700
36043,"Herkimer",2014,"Postcensal Population Estimate",63384
36045,"Jefferson",2014,"Postcensal Population Estimate",117971
36047,"Kings",2014,"Postcensal Population Estimate",2601513
36049,"Lewis",2014,"Postcensal Population Estimate",27089
36051,"Livingston",2014,"Postcensal Population Estimate",64585
36053,"Madison",2014,"Postcensal Population Estimate",72210
36055,"Monroe",2014,"Postcensal Population Estimate",747364
36057,"Montgomery",2014,"Postcensal Population Estimate",49679
36059,"Nassau",2014,"Postcensal Population Estimate",1354705
36061,"New",2014,"Postcensal Population Estimate",1630678
36063,"Niagara",2014,"Postcensal Population Estimate",213305
36065,"Oneida",2014,"Postcensal Population Estimate",232598
36067,"Onondaga",2014,"Postcensal Population Estimate",467285
36069,"Ontario",2014,"Postcensal Population Estimate",109334
36071,"Orange",2014,"Postcensal Population Estimate",374845
36073,"Orleans",2014,"Postcensal Population Estimate",41861
36075,"Oswego",2014,"Postcensal Population Estimate",120590
36077,"Otsego",2014,"Postcensal Population Estimate",60950
36079,"Putnam",2014,"Postcensal Population Estimate",99438
36081,"Queens",2014,"Postcensal Population Estimate",2298736
36083,"Rensselaer",2014,"Postcensal Population Estimate",159666
36085,"Richmond",2014,"Postcensal Population Estimate",471937
36087,"Rockland",2014,"Postcensal Population Estimate",321119
36089,"St.",2014,"Postcensal Population Estimate",111437
36091,"Saratoga",2014,"Postcensal Population Estimate",224513
36093,"Schenectady",2014,"Postcensal Population Estimate",155016
36095,"Schoharie",2014,"Postcensal Population Estimate",31767
36097,"Schuyler",2014,"Postcensal Population Estimate",18176
36099,"Seneca",2014,"Postcensal Population Estimate",34879
36101,"Steuben",2014,"Postcensal Population Estimate",98165
36103,"Suffolk",2014,"Postcensal Population Estimate",1495525
36105,"Sullivan",2014,"Postcensal Population Estimate",75634
36107,"Tioga",2014,"Postcensal Population Estimate",49824
36109,"Tompkins",2014,"Postcensal Population Estimate",103391
36111,"Ulster",2014,"Postcensal Population Estimate",180400
36113,"Warren",2014,"Postcensal Population Estimate",64866
36115,"Washington",2014,"Postcensal Population Estimate",62475
36117,"Wayne",2014,"Postcensal Population Estimate",91801
36119,"Westchester",2014,"Postcensal Population Estimate",967044
36121,"Wyoming",2014,"Postcensal Population Estimate",41134
